episode,total_reward
1,114.52061883726792
2,107.84160557768244
3,123.68209274173448
4,176.43860659100392
5,155.30885144224405
6,173.00362754962697
7,257.52460902699136
8,198.35839078577632
9,177.89960782071893
10,156.23458249420196
11,163.45507483325824
12,112.80594477504023
13,83.83059446795778
14,25.24601185415894
15,8.419316779479987
16,7.135882108682656
17,23.14905771102524
18,121.73990433955721
19,231.07518219067933
20,266.16935184802657
21,274.40242406627925
22,282.94671721903035
23,290.6722675935047
24,285.9738131937812
25,277.62765836220933
26,279.0305409733392
27,268.4867041311481
28,267.83072416885375
29,268.6256401970779
30,270.9355258975256
31,270.42276367763503
32,259.8364276506319
33,264.7525722151525
34,270.0636141655634
35,282.6450182892614
36,280.982159692115
37,289.7427010489357
38,279.88688058062627
39,275.1800503709963
40,272.7085772231302
41,270.8418563453412
